Average electricity cost assumption: 0.05 USD/kWh,,
Month,"Monthly consumption, TWh","Cumulative consumption, TWh"
Jul-10,0,0
Aug-10,0,0
Sep-10,0,0
Oct-10,0,0
Nov-10,0,0
Dec-10,0,0
Jan-11,0,0
Feb-11,0,0
Mar-11,0,0
Apr-11,0,0
May-11,0.01,0.01
Jun-11,0.04,0.05
Jul-11,0.02,0.07
Aug-11,0.01,0.08
Sep-11,0.01,0.09
Oct-11,0,0.09
Nov-11,0,0.09
Dec-11,0,0.09
Jan-12,0,0.09
Feb-12,0,0.09
Mar-12,0.01,0.1
Apr-12,0,0.1
May-12,0.01,0.11
Jun-12,0.01,0.12
Jul-12,0.01,0.13
Aug-12,0.01,0.14
Sep-12,0.01,0.15
Oct-12,0.01,0.16
Nov-12,0.01,0.17
Dec-12,0.01,0.18
Jan-13,0.01,0.19
Feb-13,0.01,0.2
Mar-13,0.01,0.21
Apr-13,0.02,0.23
May-13,0.03,0.26
Jun-13,0.04,0.3
Jul-13,0.06,0.36
Aug-13,0.08,0.44
Sep-13,0.04,0.48
Oct-13,0.1,0.58
Nov-13,0.19,0.77
Dec-13,0.36,1.13
Jan-14,0.64,1.77
Feb-14,0.75,2.52
Mar-14,0.28,2.8
Apr-14,0.41,3.21
May-14,0.57,3.78
Jun-14,0.8,4.58
Jul-14,0.63,5.21
Aug-14,0.66,5.87
Sep-14,0.14,6.01
Oct-14,0.16,6.17
Nov-14,0.17,6.34
Dec-14,0.15,6.49
Jan-15,0.16,6.65
Feb-15,0.15,6.8
Mar-15,0.18,6.98
Apr-15,0.17,7.15
May-15,0.18,7.33
Jun-15,0.18,7.51
Jul-15,0.19,7.7
Aug-15,0.2,7.9
Sep-15,0.21,8.11
Oct-15,0.23,8.34
Nov-15,0.25,8.59
Dec-15,0.35,8.94
Jan-16,0.44,9.38
Feb-16,0.55,9.93
Mar-16,0.62,10.55
Apr-16,0.64,11.19
May-16,0.73,11.92
Jun-16,0.74,12.66
Jul-16,0.75,13.41
Aug-16,0.65,14.06
Sep-16,0.68,14.74
Oct-16,0.76,15.5
Nov-16,0.8,16.3
Dec-16,0.93,17.23
Jan-17,1.12,18.35
Feb-17,0.78,19.13
Mar-17,0.85,19.98
Apr-17,0.59,20.57
May-17,0.92,21.49
Jun-17,1.32,22.81
Jul-17,1.38,24.19
Aug-17,1.36,25.55
Sep-17,1.69,27.24
Oct-17,2.03,29.27
Nov-17,2.13,31.4
Dec-17,2.72,34.12
Jan-18,3.04,37.16
Feb-18,2.78,39.94
Mar-18,3.23,43.17
Apr-18,2.99,46.16
May-18,3.18,49.34
Jun-18,3.67,53.01
Jul-18,3.88,56.89
Aug-18,4.51,61.4
Sep-18,4.35,65.75
Oct-18,4.24,69.99
Nov-18,3.59,73.58
Dec-18,2.74,76.32
Jan-19,3.03,79.35
Feb-19,2.72,82.07
Mar-19,3.16,85.23
Apr-19,3.19,88.42
May-19,3.68,92.1
Jun-19,3.95,96.05
Jul-19,4.82,100.87
Aug-19,5.18,106.05
Sep-19,5.74,111.79
Oct-19,5.92,117.71
Nov-19,5.45,123.16
Dec-19,5.34,128.5
Jan-20,6.07,134.57
Feb-20,6.04,140.61
Mar-20,5.68,146.29
Apr-20,5.39,151.68
May-20,5.35,157.03
Jun-20,4.45,161.48
Jul-20,4.79,166.27
Aug-20,5.3,171.57
Sep-20,5.38,176.95
Oct-20,5.36,182.31
Nov-20,6.02,188.33
Dec-20,7.08,195.41
Jan-21,8.92,204.33
Feb-21,8.44,212.77
Mar-21,9.81,222.58
Apr-21,9.45,232.03
May-21,9.98,242.01
Jun-21,7.26,249.27
Jul-21,5.81,255.08
Aug-21,7.29,262.37
Sep-21,7.97,270.34
Oct-21,8.98,279.32
Nov-21,9.52,288.84
Dec-21,10.29,299.13
Jan-22,10.95,310.08
