Country,Renewable,Natural Gas,Petroleum,Coal
    World,94.93954662,146.4249164,196.2805655,163.9717759
        Afghanistan,0.024595264,0.005039074,0.048550172,0.044563911
        Albania,0.054295978,0.001473171,0.052484736,0.002494356
        Algeria,0.009724078,1.760638243,0.872734898,0.000405436
        American Samoa,0,0,0.004911509,0
        Angola,0.082344192,0.031831056,0.258252532,0
        Antarctica,0,0,0.000186509,0
        Antigua and Barbuda,0.00013356,0,0.010266446,0
        Argentina,0.4394647,1.825878269,1.258250833,0.021913297
        Armenia,0.041635295,0.093822898,0.021244013,0.000112207
        Aruba,0.001306324,0,0.017258441,0
        Australia,0.453750757,1.555931404,2.403160237,1.710430344
        Austria,0.528713022,0.333518047,0.581996516,0.07779845
        Azerbaijan,0.012247444,0.424011666,0.2106614,0.000316159
        Bahrain,0.000781822,0.674827094,0.137456625,0
        Bangladesh,0.033828633,1.151738451,0.260047464,0.171018188
        Barbados,0.00035616,0.000774371,0.022899732,0
        Belarus,0.002611891,0.682607833,0.269226389,0.0146872
        Belgium,0.614373261,0.649718649,1.327487938,0.101275435
        Belize,0.004670795,0,0.007645381,0
        Benin,0.003794258,0.000700207,0.092545774,0.002938642
        Bermuda,0,0,0.011029603,0
        Bhutan,0.064091372,0,0.008923738,0.00337493
        Bolivia,0.033127065,0.10771668,0.171088914,0
        Bosnia and Herzegovina,0.032507449,0.007830971,0.070663781,0.126301872
        Botswana,0.003801132,0,0.04342218,0.031321952
        Brazil,4.825041594,1.212209558,5.889385524,0.63078716
        British Virgin Islands,1.38724E-05,0,0.002392859,0
        Brunei,0.000017808,0.142659711,0.037159177,0
        Bulgaria,0.217707911,0.10634737,0.191793197,0.208471842
        Burkina Faso,0.00356088,0,0.062082512,0
        Burma,0.10369168,0.134460849,0.298354029,0.040657641
        Burundi,0.002422848,0,0.01011799,0
        Cabo Verde,0.000792456,0,0.013799338,0
        Cambodia,0.047975083,0,0.126952205,0.049766198
        Cameroon,0.047781364,0.036464029,0.075922284,0
        Canada,4.737638184,4.611305027,5.288166162,0.542489986
        Cayman Islands,0.000143933,0,0.011254632,0
        Central African Republic,0.0013356,0,0.003982166,0
        Chad,0.000080136,0,0.025043194,0
        Chile,0.321430226,0.242901073,0.725696997,0.260755314
        China,21.0244015,11.31387057,27.90578568,91.3648283
        Colombia,0.40711566,0.38326167,0.710249263,0.246305348
        Comoros,3.5616E-06,0,0.004546189,0
        Congo-Brazzaville,0.009464532,0.051771945,0.025691407,0
        Congo-Kinshasa,0.082223972,1.39632E-05,0.036359769,0.000469632
        Cook Islands,9.5531E-05,0,0.001576201,0
        Costa Rica,0.100540298,0,0.126086327,3.65701E-06
        Croatia,0.096471112,0.107011227,0.144389219,0.016887568
        Cuba,0.008239039,0.034192517,0.329060867,7.61301E-05
        Cyprus,0.00458556,0,0.114333073,3.27433E-06
        Czech Republic,0.357814678,0.315500036,0.448852151,0.607271772
        Côte d’Ivoire,0.01729604,0.085715655,0.108515579,0
        Denmark,0.232614184,0.108842421,0.344006632,0.036733313
        Djibouti,0.000008904,0,0.008622503,0
        Dominica,0.000188569,0,0.00250519,0
        Dominican Republic,0.018430558,0.059261445,0.290849892,0.050455613
        Ecuador,0.216366564,0.012768994,0.509218607,0.000432406
        Egypt,0.154958903,2.151058546,1.622054285,0.09374494
        El Salvador,0.042134592,0,0.113549062,0
        Equatorial Guinea,0.00106848,0.039932824,0.037098647,0
        Eritrea,0.000213696,0,0.011064352,0
        Estonia,0.027009804,0.016975797,0.05698986,0.000464026
        Eswatini,0.006428519,0,0.012172237,0.003644886
        Ethiopia,0.122553778,0,0.223156334,0.015160466
        Falkland Islands,5.96568E-05,0,0.000646353,0
        Faroe Islands,0.001476283,0,0.011840522,0
        Fiji,0.005737942,0,0.023542733,2.00E-08
        Finland,0.59437512,0.092008669,0.414776807,0.094860623
        Former Czechoslovakia,--,--,--,--
        Former Serbia and Montenegro,--,--,--,--
        Former U.S.S.R.,--,--,--,--
        Former Yugoslavia,--,--,--,--
        France,4.825124286,1.613163244,3.458438815,0.264135269
        French Guiana,0.004456025,0,0.011943149,0
        French Polynesia,0.00195977,0,0.014139875,0
        Gabon,0.01734334,0.011798659,0.029040629,0
"        Gambia, The",2.76024E-05,0,0.008299074,0
        Georgia,0.088436937,0.094079191,0.064225813,0.006197122
        Germany,2.86357927,3.484291161,4.804311096,2.243220115
"        Germany, East",--,--,--,--
"        Germany, West",--,--,--,--
        Ghana,0.062407684,0.082252363,0.195590874,0.001668999
        Gibraltar,0,0.002083097,0.189419462,0
        Greece,0.179682461,0.195221954,0.644989611,0.13819831
        Greenland,0.0035616,0,0.008455163,0
        Grenada,3.11195E-05,0,0.004425186,0
        Guadeloupe,0.00198025,0,0.02734414,0
        Guam,0.000605472,0,0.024951515,0
        Guatemala,0.068357742,0,0.218931241,0.053983511
        Guinea,0.011673144,0,0.04113216,0
        Guinea-Bissau,0.000017808,0,0.004709658,0
        Guyana,0.00024397,0,0.03780569,0
        Haiti,0.001193136,0.00004368,0.043481228,0
        Hawaiian Trade Zone,--,--,--,--
        Honduras,0.057482009,0,0.134837523,0.00065614
        Hong Kong,0.043360384,0.122218338,0.86241555,0.252491407
        Hungary,0.235799118,0.367911588,0.36658159,0.087017032
        Iceland,0.172685279,0,0.040932141,0.003984046
        India,3.358076215,2.346637484,9.812736464,16.26528934
        Indonesia,0.453970273,1.63858025,3.177467544,2.77272123
        Iran,0.330652073,8.230581103,3.453822232,0.048242992
        Iraq,0.0707312,0.666064164,1.746572018,0
        Ireland,0.110114068,0.206669473,0.329219838,0.014593956
        Israel,0.009436761,0.339695966,0.469547335,0.146335553
        Italy,1.187938668,2.683449433,2.571070996,0.280904763
        Jamaica,0.004443096,0.010339353,0.129820112,0.00189795
        Japan,2.294731123,4.14124082,7.509242837,4.713906721
        Jordan,0.028837606,0.137640167,0.227207574,0.002140293
        Kazakhstan,0.125057387,0.538241387,0.626333032,2.063093722
        Kenya,0.08523169,0,0.233631989,0.012858562
        Kiribati,4.30686E-05,0,0.001056028,0
        Kosovo,0.002828922,0,0.026474795,0.062755767
        Kuwait,0.000625202,0.899329947,0.701060713,0.006024634
        Kyrgyzstan,0.122028383,0.007684712,0.064434395,0.030788228
        Laos,0.095210044,0,0.0397277,0.389772319
        Latvia,0.032049269,0.049151358,0.082371488,0.001597752
        Lebanon,0.01010496,0,0.349156201,0.005985827
        Lesotho,0.006309184,0,0.01031664,0
        Liberia,0.000035616,0,0.018690086,0
        Libya,0.001657812,0.15603943,0.440422806,0
        Lithuania,0.05509522,0.081460655,0.140643014,0.006821835
        Luxembourg,0.027834697,0.030048633,0.133260942,0.001571547
        Macau,0.018910621,0.005045496,0.028180622,0
        Madagascar,0.006807108,0,0.044264881,0.011185302
        Malawi,0.0124656,0,0.01905729,0.002173602
        Malaysia,0.297505258,1.472094702,1.396144947,0.795071422
        Maldives,0.00002226,0,0.031670523,0
        Mali,0.00811048,0,0.078358363,0
        Malta,0.00411968,0.014048043,0.119600993,1.24E-08
        Martinique,0.00085522,0,0.030666062,0
        Mauritania,0.004086936,0,0.057317013,0
        Mauritius,0.006268416,0,0.077488145,0.01709022
        Mexico,0.639171082,3.019190829,3.794167846,0.416172748
        Micronesia,0,0,0.002459784,0
        Moldova,0.005536614,0.08995993,0.043945218,0.00367538
        Mongolia,0.011614918,0,0.073410762,0.182806973
        Montenegro,0.019321228,0,0.015502725,0.013710465
        Montserrat,0,0,0.00046618,0
        Morocco,0.05689209,0.039552984,0.585375288,0.215030068
        Mozambique,0.118876588,0.054686666,0.071613525,0.001163483
        Namibia,0.02012116,0,0.053540748,0.00071083
        Nauru,0,0,0.000911525,0
        Nepal,0.043260512,0,0.095235597,0.010825052
        Netherlands,0.251260083,1.414089701,1.897404266,0.249735237
        Netherlands Antilles,0.00271572,0,0.188503775,0
        New Caledonia,0.00360612,0,0.041479278,0.030753819
        New Zealand,0.319465462,0.178013526,0.37605809,0.052287024
        Nicaragua,0.026269544,0,0.071365658,0
        Niger,0.00382018,0,0.026935774,0.005134233
        Nigeria,0.054932872,0.694662428,0.949338189,0.002481139
        Niue,0,0,0.000110006,0
        North Korea,0.121697318,0,0.043751293,0.158208102
        North Macedonia,0.018114437,0.007977962,0.045687994,0.039834663
        Northern Mariana Islands,0,0,NA,0
        Norway,1.164878298,0.156320152,0.444135807,0.021610789
        Oman,0.000035616,0.875426463,0.471247629,0.001849959
        Pakistan,0.461906619,1.48164835,0.988561632,0.502297602
        Palestinian Territories,0.020133258,0,0.047707592,0
        Panama,0.072682288,0.020301237,0.306773516,0.020413039
        Papua New Guinea,0.007494434,0.009919067,0.081895836,0
        Paraguay,0.327390482,0,0.114807907,2.84473E-05
        Peru,0.304679582,0.352558291,0.51571746,0.012550764
        Philippines,0.195775278,0.132770836,1.023700065,0.733597275
        Poland,0.096143797,0.700337024,1.406306117,2.080676215
        Portugal,0.256833499,0.227294451,0.510584761,0.05199813
        Puerto Rico,0.008041559,0.071951498,0.159089701,0.040447245
        Qatar,7.44731E-05,1.479217425,0.567685062,0
        Reunion,0.009650155,0,0.038670805,0
        Romania,0.369728063,0.388028716,0.440534097,0.19058241
        Russia,3.719415419,17.372893,7.25145317,4.901168924
        Rwanda,0.004837374,0,0.016685527,0
        Saint Helena,0,0,0.000183457,0
        Saint Kitts and Nevis,6.76704E-05,0,0.003731406,0
        Saint Lucia,2.81544E-05,0,0.009271029,0
        Saint Pierre and Miquelon,0,0,0.001273758,0
        Saint Vincent/Grenadines,0.0002226,0,0.002854249,0
        Samoa,0.000357318,0,0.004995193,0
        Sao Tome and Principe,0.00008904,0,0.002414268,0
        Saudi Arabia,0.003898171,4.16933652,5.984840887,0.002939167
        Senegal,0.007712256,0.001904892,0.11975917,0.020953049
        Serbia,0.122633827,0.091941036,0.15826988,0.309140277
        Seychelles,0.00004452,0,0.015886351,0
        Sierra Leone,0.001691244,0,0.01239409,0
        Singapore,0.016555607,0.495320904,3.117232506,0.016168683
        Slovakia,0.241942281,0.174116817,0.176923971,0.114351116
        Slovenia,0.099778167,0.028392846,0.113456121,0.040971275
        Solomon Islands,5.03165E-05,0,0.004608042,0
        Somalia,0.000153149,0,0.012256494,0
        South Africa,0.225889963,0.176425859,1.124038548,4.11918667
        South Korea,1.625021195,2.111939562,5.29085724,3.386180407
        South Sudan,0.000035616,0,0.026558042,0
        Spain,1.501942828,1.368008435,2.764105594,0.154171166
        Sri Lanka,0.045312456,0,0.263663318,0.059237971
        Sudan,0.07025256,0,0.274460038,0
        Suriname,0.015012816,0.000205683,0.032660421,0
        Sweden,1.457778205,0.044459314,0.602895257,0.065062637
        Switzerland,0.60271509,0.130538468,0.450687239,0.002987404
        Syria,0.010436022,0.130559932,0.285398644,0.000237131
        Taiwan,0.455469343,0.858597856,0.978738748,1.498508995
        Tajikistan,0.15919473,0.005827398,0.046050057,0.046598773
        Tanzania,0.022394651,0.050979477,0.105984578,0.014139968
        Thailand,0.377688692,1.890821762,2.462613604,0.61182801
        The Bahamas,3.11017E-05,0.000133479,0.054550082,0
        Timor-Leste,0,0,0.007422326,0
        Togo,0.003711212,0.00164488,0.02032037,0.00756583
        Tonga,0,0,0.002386858,0
        Trinidad and Tobago,0.00004452,0.65988316,0.070875839,0.000107186
        Tunisia,0.006739411,0.201562785,0.208019827,8.04006E-05
        Turkey,1.195933712,1.619160541,2.001987996,1.791917791
        Turkmenistan,-0.010915729,1.678588967,0.296228118,0
        Turks and Caicos Islands,0,0,0.003359033,0
        Tuvalu,0,0,NA,0
        U.S. Pacific Islands,0,0,0.004243374,0
        U.S. Territories,0,0,0,0
        U.S. Virgin Islands,6.4465E-05,0,0.033838739,0
        Uganda,0.048279948,0,0.081989501,0
        Ukraine,0.979840547,0.93091984,0.475070426,1.094813614
        United Arab Emirates,0.03184501,2.72690564,1.794807442,0.053409318
        United Kingdom,1.670615454,2.901287107,3.221477462,0.218881467
        United States,19.92456533,32.252007,38.32938588,11.31559469
        Uruguay,0.128017232,0.003581506,0.0999996,3.74E-08
        Uzbekistan,0.062413332,1.576025767,0.18339988,0.080592602
        Vanuatu,8.98948E-05,0,0.003172132,0
        Venezuela,0.638969662,0.871179331,0.936208809,0.001116927
        Vietnam,0.569337078,0.308716392,0.983412043,1.647620034
        Wake Island,0,0,0.019436046,0
        Western Sahara,0,0,0.003712096,0
        Yemen,0.004452,0.003444893,0.150271799,0.000850977
        Zambia,0.120811044,0,0.052134907,0.034150606
        Zimbabwe,0.068089201,0,0.055497935,0.045063673
